open_time,close,volume,trades
2026-08-01 02:00:00,63020.0,458.27671,25770
2026-08-01 03:00:00,63080.64,434.87477,23346
2026-08-01 04:00:00,63050.46,150.69173,19514
2026-08-01 05:00:00,63126.25,106.02817,14521
2026-08-01 06:00:00,63053.17,228.45152,24467
2026-08-01 07:00:00,63056.0,321.04349,31816
2026-08-01 08:00:00,63076.0,179.08594,15389
2026-08-01 09:00:00,63103.68,320.18632,18966
2026-08-01 10:00:00,63069.32,187.46878,15828
2026-08-01 11:00:00,63126.52,385.79335,26416
2026-08-01 12:00:00,63007.06,164.42533,17538
2026-08-01 13:00:00,62932.32,327.87182,40247
2026-08-01 14:00:00,62708.07,359.17517,60750
2026-08-01 15:00:00,62580.56,931.42897,151143
2026-08-01 16:00:00,62529.82,312.52626,58351
2026-08-01 17:00:00,62662.13,183.46966,43166
2026-08-01 18:00:00,62812.75,229.38386,54923
2026-08-01 19:00:00,62831.28,129.54917,28111
2026-08-01 20:00:00,62823.64,287.81315,20284
2026-08-01 21:00:00,62833.99,397.27424,33822
2026-08-01 22:00:00,62981.87,215.77694,32567
2026-08-01 23:00:00,63451.58,1068.41906,145569
2026-08-02 00:00:00,63461.95,388.55462,47536
2026-08-02 01:00:00,63590.0,302.37117,41609
2026-08-02 02:00:00,63453.27,261.31562,36028
2026-08-02 03:00:00,63482.49,160.39885,22998
2026-08-02 04:00:00,63506.24,412.11258,22781
2026-08-02 05:00:00,63193.99,542.79786,45423
2026-08-02 06:00:00,63273.94,277.11141,44972
2026-08-02 07:00:00,63205.03,200.2751,33634
2026-08-02 08:00:00,63031.99,373.06149,73599
2026-08-02 09:00:00,63125.49,247.99863,48051
2026-08-02 10:00:00,63126.92,262.12825,38300
2026-08-02 11:00:00,63069.37,314.22912,44847
2026-08-02 12:00:00,63109.14,191.05332,27263
2026-08-02 13:00:00,63180.36,267.96361,61576
2026-08-02 14:00:00,63300.28,318.39177,51239
2026-08-02 15:00:00,63382.01,518.81545,66179
2026-08-02 16:00:00,63456.01,247.35839,38980
2026-08-02 17:00:00,63494.52,140.51262,39245
2026-08-02 18:00:00,63578.0,457.27756,92710
2026-08-02 19:00:00,63424.58,484.1409,112482
2026-08-02 20:00:00,63570.0,337.67298,84654
2026-08-02 21:00:00,63317.6,357.32342,98486
2026-08-02 22:00:00,63212.16,372.31318,85202
2026-08-02 23:00:00,63141.4,334.18959,68048
2026-08-03 00:00:00,62870.49,516.46423,75000
2026-08-03 01:00:00,62790.0,320.41763,51921
2026-08-03 02:00:00,62827.17,546.69206,57026
2026-08-03 03:00:00,62623.6,396.31841,71093
2026-08-03 04:00:00,62621.1,1264.72827,74002
2026-08-03 05:00:00,62541.5,657.33122,97499
2026-08-03 06:00:00,62837.4,585.41075,62491
2026-08-03 07:00:00,62742.01,443.80935,58532
2026-08-03 08:00:00,62560.01,282.26451,61915
2026-08-03 09:00:00,62700.0,437.23263,90847
2026-08-03 10:00:00,63351.09,1121.39133,232110
2026-08-03 11:00:00,63967.19,2387.82383,372984
2026-08-03 12:00:00,63694.91,1368.53804,236612
2026-08-03 13:00:00,63776.46,800.0795,144856
2026-08-03 14:00:00,63906.0,628.1066,106952
2026-08-03 15:00:00,63870.87,368.04477,88526
2026-08-03 16:00:00,63869.38,545.18183,100645
2026-08-03 17:00:00,63775.43,498.9936,65626
2026-08-03 18:00:00,63590.15,427.95014,62549
2026-08-03 19:00:00,63618.0,422.48287,78240
2026-08-03 20:00:00,63520.0,460.20967,53202
2026-08-03 21:00:00,63361.99,536.23408,103694
2026-08-03 22:00:00,63847.93,808.63269,138495
2026-08-03 23:00:00,63822.44,596.20908,79681
2026-08-04 00:00:00,63800.01,343.13285,49652
2026-08-04 01:00:00,64029.0,795.09044,81654
2026-08-04 02:00:00,63818.48,306.74636,62069
2026-08-04 03:00:00,63670.0,321.82249,48554
2026-08-04 04:00:00,63685.74,779.79552,60765
2026-08-04 05:00:00,63588.94,412.14854,41831
2026-08-04 06:00:00,63603.73,356.68509,41824
2026-08-04 07:00:00,63764.0,613.8334,102803
2026-08-04 08:00:00,63926.0,457.77198,91676
2026-08-04 09:00:00,63906.41,546.54537,89411
