open_time,actual_range,predicted_range,baseline_range,model_error,baseline_error,hour_of_day,date,model_wins
2026-06-29 19:00:00-03:00,0.0030736700054646536,0.004589804742173312,0.00275051609457865,0.0015161347367086582,0.0003231539108860034,19,2026-06-29,0
2026-06-29 20:00:00-03:00,0.009635012929073023,0.004411533584015536,0.0030736700054646536,0.005223479345057487,0.00656134292360837,20,2026-06-29,1
2026-06-29 21:00:00-03:00,0.0046376422799222555,0.006931717996451998,0.009635012929073023,0.0022940757165297422,0.004997370649150768,21,2026-06-29,1
2026-06-29 22:00:00-03:00,0.00479647108905951,0.0060481381897953095,0.0046376422799222555,0.0012516671007357996,0.00015882880913725434,22,2026-06-29,0
2026-06-29 23:00:00-03:00,0.007240788978504542,0.004485425176084887,0.00479647108905951,0.0027553638024196553,0.002444317889445032,23,2026-06-29,0
2026-06-30 00:00:00-03:00,0.004481946399188722,0.006173313588826558,0.007240788978504542,0.0016913671896378367,0.00275884257931582,0,2026-06-30,1
2026-06-30 01:00:00-03:00,0.004977022614280486,0.005708744035666688,0.004481946399188722,0.0007317214213862023,0.0004950762150917644,1,2026-06-30,0
2026-06-30 02:00:00-03:00,0.003342059336823671,0.004626448569308524,0.004977022614280486,0.001284389232484853,0.001634963277456815,2,2026-06-30,1
2026-06-30 03:00:00-03:00,0.003158389362544627,0.0051766463922246625,0.003342059336823671,0.0020182570296800356,0.00018366997427904418,3,2026-06-30,0
2026-06-30 04:00:00-03:00,0.006103832079622424,0.005291687669406393,0.003158389362544627,0.0008121444102160312,0.0029454427170777973,4,2026-06-30,1
2026-06-30 05:00:00-03:00,0.0028294755903835555,0.005777311576848338,0.006103832079622424,0.002947835986464782,0.0032743564892388686,5,2026-06-30,1
2026-06-30 06:00:00-03:00,0.0022523338638328915,0.004862993907173028,0.0028294755903835555,0.0026106600433401365,0.000577141726550664,6,2026-06-30,0
2026-06-30 07:00:00-03:00,0.004903645213007597,0.004608639972991735,0.0022523338638328915,0.00029500524001586145,0.002651311349174705,7,2026-06-30,1
2026-06-30 08:00:00-03:00,0.013510922413202717,0.0055446094524597206,0.004903645213007597,0.007966312960742995,0.008607277200195121,8,2026-06-30,1
2026-06-30 09:00:00-03:00,0.009777963463686914,0.010548750642166172,0.013510922413202717,0.0007707871784792576,0.0037329589495158026,9,2026-06-30,1
2026-06-30 10:00:00-03:00,0.014424751478254868,0.009449012226284017,0.009777963463686914,0.00497573925197085,0.004646788014567953,10,2026-06-30,0
2026-06-30 11:00:00-03:00,0.010191499124987005,0.007958722194123698,0.014424751478254868,0.002232776930863307,0.004233252353267863,11,2026-06-30,1
2026-06-30 12:00:00-03:00,0.006670524371491831,0.00789145037127455,0.010191499124987005,0.0012209259997827196,0.003520974753495174,12,2026-06-30,1
2026-06-30 13:00:00-03:00,0.005271150205613037,0.0072464850389341385,0.006670524371491831,0.001975334833321102,0.0013993741658787943,13,2026-06-30,0
2026-06-30 14:00:00-03:00,0.005937539780852014,0.00540199300696958,0.005271150205613037,0.0005355467738824334,0.000666389575238977,14,2026-06-30,1
2026-06-30 15:00:00-03:00,0.004303950913027573,0.0046978839282762275,0.005937539780852014,0.0003939330152486547,0.0016335888678244408,15,2026-06-30,1
2026-06-30 16:00:00-03:00,0.0038604161512605464,0.0050679411712083455,0.004303950913027573,0.0012075250199477991,0.0004435347617670264,16,2026-06-30,0
2026-06-30 17:00:00-03:00,0.004434004848909457,0.005059288599804202,0.0038604161512605464,0.0006252837508947456,0.0005735886976489103,17,2026-06-30,0
2026-06-30 18:00:00-03:00,0.005001195229524176,0.004641081878181179,0.004434004848909457,0.0003601133513429968,0.000567190380614719,18,2026-06-30,1
2026-06-30 19:00:00-03:00,0.0018592842506171886,0.003889670978805084,0.005001195229524176,0.0020303867281878953,0.003141910978906987,19,2026-06-30,1
2026-06-30 20:00:00-03:00,0.0075232177000819495,0.003502024684400361,0.0018592842506171886,0.004021193015681589,0.005663933449464761,20,2026-06-30,1
2026-06-30 21:00:00-03:00,0.02080326939146575,0.00610594225594222,0.0075232177000819495,0.014697327135523531,0.013280051691383802,21,2026-06-30,0
2026-06-30 22:00:00-03:00,0.008592366929000598,0.009816025327924811,0.02080326939146575,0.0012236583989242138,0.012210902462465154,22,2026-06-30,1
2026-06-30 23:00:00-03:00,0.007905788675903714,0.006395460224452936,0.008592366929000598,0.0015103284514507778,0.0006865782530968839,23,2026-06-30,0
2026-07-01 00:00:00-03:00,0.006656556564974143,0.00610930588846118,0.007905788675903714,0.0005472506765129628,0.0012492321109295705,0,2026-07-01,1
2026-07-01 01:00:00-03:00,0.0042272476080788155,0.005195453482713663,0.006656556564974143,0.0009682058746348478,0.0024293089568953275,1,2026-07-01,1
2026-07-01 02:00:00-03:00,0.010580912863070578,0.005664029054000789,0.0042272476080788155,0.004916883809069789,0.006353665254991763,2,2026-07-01,1
2026-07-01 03:00:00-03:00,0.0038098544036659246,0.005892153813560439,0.010580912863070578,0.0020822994098945147,0.006771058459404653,3,2026-07-01,1
2026-07-01 04:00:00-03:00,0.008207007869062278,0.005132387220677905,0.0038098544036659246,0.0030746206483843724,0.0043971534653963525,4,2026-07-01,1
2026-07-01 05:00:00-03:00,0.0045191625010284646,0.005654771350364228,0.008207007869062278,0.0011356088493357638,0.003687845368033813,5,2026-07-01,1
2026-07-01 06:00:00-03:00,0.005531369086726609,0.0052855211653879824,0.0045191625010284646,0.0002458479213386265,0.0010122065856981444,6,2026-07-01,1
2026-07-01 07:00:00-03:00,0.003512331456280198,0.005695302336890865,0.005531369086726609,0.002182970880610667,0.002019037630446411,7,2026-07-01,0
2026-07-01 08:00:00-03:00,0.005979021152239374,0.007611050434403288,0.003512331456280198,0.0016320292821639139,0.002466689695959176,8,2026-07-01,1
